25SQCMICSBBA49600B286,0,H2N-0923,"[726, 1274, 2555]","[2133, 4346]",45796,56830,"[[45796, 46522], [48655, 49929], [54275, 56830]]"
25SQCMICSBBA59500B0D2,0,H4P-0922,"[719, 1204, 1127, 1181, 1195, 1278, 1036, 1126, 904, 858, 744, 720]","[542, 407, 353, 386, 424, 1046, 181, 287, 193, 240, 553]",36614,53318,"[[36614, 37333], [37875, 39079], [39486, 40613], [40966, 42147], [42533, 43728], [44152, 45430], [46476, 47512], [47693, 48819], [49106, 50010], [50203, 51061], [51301, 52045], [52598, 53318]]"
25SQCMICSBBBA2A00B2C8,0,No Group,[394],[],53580,53974,"[[53580, 53974]]"
25SQCMICSBBBA9600B151,0,No Group,[469],[],56198,56667,"[[56198, 56667]]"
25SQCMICSBBBE1100B261,0,H2P-0923,"[795, 1046, 962, 845]","[393, 454, 463]",36678,41636,"[[36678, 37473], [37866, 38912], [39366, 40328], [40791, 41636]]"
25SQCMICSBBBF0700B11C,0,No Group,[196],[],54111,54307,"[[54111, 54307]]"
25SQCMICSBBC17800B1EA,0,No Group,[364],[],56445,56809,"[[56445, 56809]]"
25SQCMICSBBC18100B13A,0,No Group,"[33, 360]",[857],55109,56359,"[[55109, 55142], [55999, 56359]]"
25SQCMICSBBC18500B2D5,0,No Group,[],[],0,0,[]
25SQCMICSBBC25900B2D1,0,No Group,[],[],0,0,[]
25SQCMICSBBC2A400B1EE,0,No Group,[244],[],52713,52957,"[[52713, 52957]]"
25SQCMICSBBC2E500B128,0,No Group,[],[],0,0,[]
25SQCMICSBBC34B00B247,0,No Group,[594],[],54418,55012,"[[54418, 55012]]"
25SQCMICSBBC4F900B287,0,DH4-0923,[909],[],54313,55222,"[[54313, 55222]]"
25SQCMICSBBD8CE00B132,0,No Group,[729],[],54250,54979,"[[54250, 54979]]"
25SQCMICSBBDCB000B2F2,0,No Group,[],[],0,0,[]
25SQCMICSBBDF6800B11B,0,No Group,[1203],[],44205,45408,"[[44205, 45408]]"
25SQCMICSBBE13D00B271,0,DH4-0923,[],[],0,0,[]
25SQCMICSBBE1C400B2A1,0,No Group,[388],[],53247,53635,"[[53247, 53635]]"
25SQCMICSBBE45500B2EC,0,No Group,[],[],0,0,[]
25SQCMICSBBE5BB00B0A7,0,H4P-0922,"[340, 67, 4581, 4903, 1453]","[6968, 41, 206, 5346]",38753,62658,"[[38753, 39093], [46061, 46128], [46169, 50750], [50956, 55859], [61205, 62658]]"
25SQCMICSBBFDE700B1DD,0,No Group,[],[],0,0,[]
25SQCMICSBBFEC600B2E4,0,No Group,[568],[],56083,56651,"[[56083, 56651]]"
25SQCMICSBBFF2900B14F,0,DH4-0923,[57],[],51368,51425,"[[51368, 51425]]"
