File,,Time,UTC,9/26/22,16:57:10,,
SW,,iID®DataCaptureSoftware,,,,,
SW,,v01.09,,,,,
SW,,4/7/20,,arrive 1-2,,,
SW,,9/26/22,16:54:06,depart 2-1,,,
Lib,,v1.6.3,,,,,
Company,,GmbH,,,,,
OS,,v10.0.17763.865,,,,,
,,,,,,,
,,,,,,,
Settings,,,,,,,
,,mode,DOC,,,,
,,,,,,,
,,YES,,,,,
,,5,,,,,
,,,,,,,
Found,,,,,,,
,,ReaderID,HW-Info,FW-Info,Num-Antennas,,
,,25SQCMICSCB030EB4,,,,,
,,200330,D0.22,98.26.06,2,,
,,200328,D0.22,98.26.06,2,,
,,,,,,,
,,,,,,,
Timestamp,,HexAddress,ReaderID,UID,Collection,DataType,
9/26/22,10:14:38,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,10:14:38
9/26/22,10:14:38,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,10:14:38
9/26/22,10:19:55,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,10:19:55
9/26/22,10:19:57,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,10:19:57
9/26/22,10:27:22,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,10:27:22
9/26/22,10:27:23,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,10:27:23
9/26/22,10:36:02,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,10:36:02
9/26/22,10:36:03,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,10:36:03
9/26/22,10:46:12,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,10:46:12
9/26/22,10:46:12,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,10:46:12
9/26/22,10:46:12,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,10:46:12
9/26/22,10:46:12,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,10:46:12
9/26/22,10:46:12,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,10:46:12
9/26/22,10:46:13,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,10:46:13
9/26/22,10:46:13,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,10:46:13
9/26/22,10:55:20,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,10:55:20
